loan_type,loan_amount_lakh,borrower_income_lakh,credit_score,tenure_months,default
Personal_Priority,0.67,6.15,747,12,0
Personal_NonPriority,0.83,6.82,700,240,0
Services_NonPriority,2.06,4.9,739,36,0
Industry_NonPriority,0.8,5.33,639,24,0
Industry_Priority,3.17,9.3,708,36,0
Industry_Priority,1.56,8.39,658,36,0
Agriculture,1.71,9.47,626,24,0
Personal_NonPriority,1.38,8.64,648,60,0
Services_NonPriority,2.59,10.11,667,12,0
Services_NonPriority,2.6,10.63,774,60,0
Agriculture,1.99,2.77,665,36,0
Personal_NonPriority,2.28,5.44,623,60,0
Personal_NonPriority,1.43,7.31,707,36,0
Industry_Priority,2.25,7.93,701,60,1
Industry_Priority,1.33,5.99,670,12,0
Industry_Priority,1.63,10.74,690,36,0
Services_Priority,1.38,13.94,758,24,0
Industry_NonPriority,1.24,8.56,740,36,0
Industry_NonPriority,1.08,8.25,735,36,0
Services_Priority,2.15,10.55,628,60,0
Services_NonPriority,3.57,2.4,850,60,0
Agriculture,3.29,8.09,763,36,0
Services_Priority,0.77,10.94,731,24,0
Personal_Priority,3.53,6.07,630,60,0
Industry_NonPriority,1.34,4.32,756,240,0
Services_NonPriority,2.33,7.44,669,24,0
Industry_Priority,0.94,7.82,688,12,0
Industry_NonPriority,1.77,5.27,599,36,0
Industry_NonPriority,1.96,14.29,625,36,0
Agriculture,0.67,6.56,726,36,0
Services_NonPriority,2.34,4.54,760,120,0
Industry_Priority,3.65,7.72,741,36,0
Agriculture,1.47,10.72,739,24,0
Personal_NonPriority,3.68,8.05,696,240,0
Personal_NonPriority,1.45,9.46,675,24,0
Personal_NonPriority,2.71,5.39,717,24,0
Services_Priority,0.43,12.46,749,24,0
Agriculture,6.95,9.69,700,12,0
Services_NonPriority,3.99,11.14,772,120,0
Industry_NonPriority,1.37,9.1,687,36,0
Agriculture,0.5,10.47,641,60,0
Industry_NonPriority,1.93,5.38,699,120,0
Agriculture,0.68,6.53,706,24,0
Personal_NonPriority,2.13,12.04,695,60,0
Services_Priority,2.08,12.68,776,60,0
Services_NonPriority,0.93,4.56,748,120,0
Services_Priority,3.19,8.75,614,12,0
Industry_NonPriority,2.64,6.71,792,36,0
Industry_NonPriority,2.92,5.91,535,120,0
Industry_Priority,1.64,8.85,829,24,0
Personal_NonPriority,0.7,11.42,682,24,0
Services_NonPriority,2.93,9.35,688,60,0
Personal_NonPriority,1.38,7.04,696,36,0
Personal_NonPriority,0.71,9.54,723,36,0
Industry_NonPriority,3.66,6.92,699,120,0
Personal_NonPriority,5.74,9.24,691,60,0
Agriculture,1.59,12.19,778,60,0
Industry_Priority,5.94,1.77,733,36,0
Agriculture,1.72,10.39,642,120,0
Personal_Priority,1.3,3.38,744,60,0
Personal_Priority,1.11,11.68,731,24,0
Services_Priority,4.35,6.09,667,36,0
Personal_NonPriority,1.02,4.35,747,120,0
Personal_Priority,2.53,10.09,690,36,0
Services_Priority,1.16,9.09,686,36,0
Industry_NonPriority,1.23,5.0,685,36,0
Agriculture,3.02,4.24,554,24,0
Personal_NonPriority,1.3,7.44,668,36,0
Agriculture,1.28,4.39,742,120,1
Personal_NonPriority,3.21,4.82,698,36,0
Services_NonPriority,4.24,8.35,622,36,0
Industry_Priority,2.4,5.1,757,24,0
Agriculture,1.1,9.28,682,24,0
Personal_NonPriority,1.2,12.47,626,12,0
Services_NonPriority,1.71,7.55,832,12,0
Services_NonPriority,1.97,8.39,636,36,0
Services_NonPriority,0.9,14.05,752,36,0
Agriculture,2.51,4.44,653,36,0
Personal_Priority,1.71,11.57,708,240,0
Agriculture,0.58,11.21,645,36,0
Personal_NonPriority,0.93,10.56,625,120,0
Services_NonPriority,1.2,11.88,731,24,0
Personal_Priority,1.56,8.84,724,24,0
Agriculture,5.06,6.25,768,60,1
Services_Priority,1.88,11.28,697,12,0
Personal_Priority,0.98,11.4,833,12,0
Services_NonPriority,1.86,11.32,716,24,0
Services_NonPriority,1.32,8.13,734,24,0
Personal_NonPriority,1.98,5.85,618,60,0
Industry_NonPriority,2.31,8.57,663,60,0
Agriculture,3.36,10.83,731,36,0
Services_NonPriority,1.6,11.07,694,24,0
Services_NonPriority,4.35,6.71,711,120,0
Industry_NonPriority,2.81,8.95,651,24,0
Services_NonPriority,1.06,4.07,707,60,0
Industry_NonPriority,6.13,10.95,707,240,0
Industry_NonPriority,1.98,5.65,629,24,0
Industry_NonPriority,0.99,10.36,738,12,0
Agriculture,4.39,4.55,597,240,1
Agriculture,5.66,11.09,711,36,0
Agriculture,1.6,8.97,805,36,0
Services_NonPriority,1.2,5.66,740,36,0
Services_Priority,1.47,10.07,740,24,0
Industry_NonPriority,2.5,6.23,646,240,0
Personal_NonPriority,3.5,10.25,806,12,0
Services_Priority,2.29,7.18,782,36,0
Industry_NonPriority,1.73,2.84,649,60,0
Services_NonPriority,4.0,5.05,671,36,0
Services_Priority,1.35,6.71,775,60,0
Agriculture,3.02,12.1,807,240,0
Services_Priority,1.37,10.7,624,120,0
Industry_Priority,2.11,12.87,639,36,0
Personal_NonPriority,1.52,12.96,691,60,0
Personal_NonPriority,1.57,6.4,569,12,0
Services_NonPriority,1.3,7.43,701,36,0
Personal_NonPriority,3.65,6.77,771,24,0
Personal_NonPriority,1.05,5.99,613,60,0
Industry_Priority,1.04,2.48,707,24,0
Personal_NonPriority,5.81,7.96,665,60,0
Industry_NonPriority,2.93,4.14,798,36,0
Personal_NonPriority,0.39,7.9,665,240,0
Personal_NonPriority,1.16,14.35,791,36,0
Services_Priority,0.55,6.47,664,120,0
Agriculture,0.92,8.58,746,60,0
Services_Priority,0.25,10.72,715,240,0
Industry_NonPriority,1.5,8.84,691,60,0
Personal_NonPriority,0.82,8.88,652,60,0
Personal_NonPriority,1.69,6.91,719,36,0
Agriculture,0.61,7.3,673,60,1
Industry_NonPriority,1.71,5.12,658,36,0
Industry_NonPriority,1.27,10.54,788,12,0
Services_Priority,4.01,2.78,732,60,0
Agriculture,3.8,10.91,738,24,0
Personal_Priority,2.61,3.79,676,36,0
Personal_NonPriority,1.34,10.89,688,36,0
Personal_Priority,5.36,6.94,685,24,0
Industry_NonPriority,0.64,4.3,720,12,0
Services_NonPriority,0.7,9.74,738,36,0
Personal_Priority,1.55,10.79,698,12,0
Personal_NonPriority,6.29,6.69,652,60,0
Personal_NonPriority,1.44,10.16,745,12,0
Services_Priority,1.46,1.14,702,240,0
Industry_NonPriority,0.69,4.04,613,240,0
Services_Priority,2.87,11.88,571,36,0
Services_Priority,2.88,7.33,717,36,0
Agriculture,2.61,2.41,650,24,0
Services_NonPriority,1.12,5.9,725,240,0
Industry_NonPriority,1.07,5.23,653,60,0
Agriculture,0.75,7.5,707,60,0
Services_Priority,1.71,6.89,677,120,1
Personal_NonPriority,0.85,8.54,805,240,0
Services_Priority,0.8,7.79,757,120,0
Agriculture,1.26,12.08,780,120,0
Industry_NonPriority,1.21,9.27,701,120,1
Personal_NonPriority,1.18,9.37,749,120,0
Services_Priority,2.15,11.5,705,36,0
Services_NonPriority,1.71,6.83,788,240,0
Services_NonPriority,1.37,4.21,695,60,0
Services_Priority,1.82,11.62,616,36,0
Services_NonPriority,0.9,8.41,580,36,0
Personal_Priority,1.73,8.42,800,60,0
Services_NonPriority,1.78,6.1,728,36,0
Services_NonPriority,0.66,6.15,732,120,0
Industry_NonPriority,2.96,10.54,789,24,0
Agriculture,0.96,10.95,600,240,0
Personal_NonPriority,1.72,10.35,678,36,0
Personal_Priority,3.27,10.38,685,24,0
Industry_Priority,2.84,9.71,744,120,0
Agriculture,1.66,8.39,658,24,1
Industry_NonPriority,1.31,7.47,627,120,0
Services_NonPriority,2.87,11.63,627,36,0
Agriculture,2.44,6.88,768,240,0
Industry_NonPriority,1.12,9.11,655,24,0
Services_Priority,1.01,5.59,666,12,0
Services_NonPriority,0.47,6.02,738,240,0
Industry_Priority,1.79,7.29,658,24,0
Services_NonPriority,1.55,5.59,597,240,0
Personal_Priority,3.22,10.39,605,120,0
Personal_NonPriority,2.02,3.96,696,12,0
Agriculture,3.62,8.3,729,36,0
Personal_Priority,1.07,8.4,687,12,0
Agriculture,3.22,2.57,725,36,0
